slug,title,location,city,canton,lat,lng
aarberg-be-altstadt-im-aufschwung,Aarberg BE: Altstadt im Aufschwung,"Aarberg, BE",Aarberg,BE,47.0442042,7.2751867
im-alten-ortskern-wohnen,Im alten Ortskern wohnen,"Porrentruy, JU",Porrentruy,JU,47.4169996,7.0750119
appenzell-ausserrhoden-wie-die-haus-analyse-zum-erfolgsmodell-wurde,Appenzell Ausserrhoden: Wie die «Haus-Analyse» zum Erfolgsmodell wurde,"Bühler, AR",Bühler,AR,47.3733859,9.4190227
attisholz-nord-zwischennutzung-als-wegbereiter-zum-urbanen-quartier,Attisholz-Nord: Zwischennutzung als Wegbereiter zum urbanen Quartier,"Riedholz, SO",Riedholz,SO,47.2274923,7.5769876
auf-der-kronenmatt-entsteht-ein-neues-dorfzentrum,Auf der Kronenmatt entsteht ein neues Dorfzentrum ,"Sattel, SZ",Sattel,SZ,47.0812826,8.6339168
aufenthaltsraeume-fuer-menschen-statt-parkplaetze-fuer-autos,Aufenthaltsräume für Menschen statt Parkplätze für Autos ,"La Tour-de-Peilz, VD",La Tour-de-Peilz,VD,46.4530032,6.8577834
aus-einer-kreuzung-wird-ein-dorfplatz,Aus einer Kreuzung wird ein Dorfplatz,"Riehen, BS",Riehen,BS,47.582659,7.652434
aus-dorf-wird-stadt-malters-entwickelt-das-areal-zentrum-bahnhof-weihermatte,Aus Dorf wird Stadt: Malters entwickelt das Areal Zentrum – Bahnhof – Weihermatte ,"Malters , LU",Malters ,LU,47.0379921,8.1795385
baden-merker-areal-zwischennutzung-zeigt-den-weg,"Baden, Merker-Areal: Zwischennutzung zeigt den Weg","Baden, AG",Baden,AG,47.4756875,8.3040176
basel-ch-huningue-f-eine-wahrlich-grenzueberschreitende-planung,Basel (CH) – Huningue (F): Eine wahrlich grenzüberschreitende Planung,"Basel, BS",Basel,BS,47.5717135,7.5836239
bassersdorf-zh-zentrumsplanung,Bassersdorf ZH: Zentrumsplanung,"Bassersdorf, ZH",Bassersdorf,ZH,47.4425026,8.6301728
bern-bruennengut-parkanlage-und-schmelztiegel,"Bern, Brünnengut: Parkanlage und Schmelztiegel","Berne, BE",Berne,BE,46.9469564,7.3799317
bern-alte-feuerwehrkaserne-viktoria,"Bern, Alte Feuerwehrkaserne Viktoria","Bern, BE",Bern,BE,46.9545812,7.4521503
biel-be-gygax-areal-landumlegung-mit-drei-gewinnerinnen,"Biel BE, Gygax-Areal: Landumlegung mit drei Gewinnerinnen","Biel, BE",Biel,BE,47.1432085,7.2638181
biel-terrain-gurzelen-zwischenutzung-auf-stadionbrache,"Biel, Terrain Gurzelen: Zwischenutzung auf Stadionbrache","Biel, BE",Biel,BE,47.1451983,7.2600585
dank-innenentwicklung-zum-qualitaetsvollen-quartierzentrum,Dank Innenentwicklung zum qualitätsvollen Quartierzentrum,"Hergiswil, NW",Hergiswil,NW,46.9871306,8.3123907
das-zentrum-staldenbach-verschafft-freienbach-ein-staedtisches-flair-am-bahnhof,Das Zentrum Staldenbach verschafft Freienbach ein städtisches Flair am Bahnhof,"Freienbach, SZ",Freienbach,SZ,47.2022112,8.7774914
